libelle_unite;type_materiel;code_unite_terminal_de_saisie
;;
CIC BDRIJ GGD01;Scanner;20061
BP de Saint-Laurent-sur-Saône;Scanner;02549
BP de Trévoux;Scanner;02585
BP d'Ambérieu-en-Bugey;Bloc optique;02556
BTA  de Valserhône;Bloc optique;26027
BTA  de Miribel;Bloc optique;02590
BTA d'Ornex;Bloc optique;02581
BTA de Lagnieu;Bloc optique;02560
CIC BDRIJ GGD02;Scanner;19432
BP de Saint-Quentin;Scanner;00429
BP de Chauny;Bloc optique;00406
BTA  d'Hirson;Bloc optique;00452
BP de Villers-Cotterêts;Bloc optique;00445
BP de La-Capelle;Bloc optique;00450
CIC BDRIJ GGD03;Scanner;20197
BP de Gannat;Scanner;03083
BP de Saint-Pourçain-sur-Sioule;Bloc optique;03060
CIC BDRIJ GGD04;Scanner;20571
BP de Château-Arnoux-Saint-Auban;Scanner;04394
BP de Sisteron;Bloc optique;04399
CIC BDRIJ GGD05;Scanner;20588
BP d'Embrun;Scanner;04436
BP de St Bonnet en Champsaur;Bloc optique;04417
CIC BDRIJ GGD06;Scanner;20605
BP de Menton;Scanner;04488
BTA de Puget-Théniers;Scanner;04501
BP de Mandelieu-la-Napoule;Bloc optique;04470
BTA  de Villeneuve-Loubet;Bloc optique;33451
BTA  de Vence;Bloc optique;04482
BTA de Mougins;Bloc optique;09410
BTA de Valbonne;Bloc optique;09844
BP de Carros;Bloc optique;04483
BTA de Mouans-Sartoux;Bloc optique;10198
BP de Roquefort-les-Pins;Bloc optique;10436
BP de La-Trinité;Bloc optique;04462
CIC BDRIJ GGD07;Scanner;20078
BP du Teil;Bloc optique;02615
BTA de Tournon-sur-Rhône;Bloc optique;02637
BTA de Bourg-Saint-Andéol;Bloc optique;02610
BP d'Annonay;Bloc optique;02639
CIC BDRIJ GGD08;Scanner;20367
BP de Revin;Scanner;03638
BP de Rethel;Bloc optique;03666
BP de Vrigne-aux-Bois;Bloc optique;03654
BTA de Nouzonville;Bloc optique;03632
CIC BDRIJ GGD09;Scanner;19925
BP de Pamiers;Scanner;02148
BTA de Lavelanet;Bloc optique;02140
CIC BDRIJ GGD10;Scanner;20384
BP de Nogent-sur-Seine;Scanner;03713
PMO de Buchères;Scanner;12999
BP de Romilly-sur-Seine;Bloc optique;03716
BP de Bar-sur-Aube;Bloc optique;03696
CIC BDRIJ GGD11;Scanner;20673
BP de Narbonne;Scanner;04708
BP de Bram;Scanner;04693
BTA  de Castelnaudary;Bloc optique;04691
BP de Lézignan-Corbières;Bloc optique;04712
BP de Limoux;Bloc optique;04697
PMO de Lavalette;Bloc optique;58002
CIC BDRIJ GGD12;Scanner;19942
PMO de Millau;Scanner;18084
BP de Villefranche-de-Rouergue;Bloc optique;02231
CIC BDRIJ GGD13;Scanner;20554
BTA de St Rémy de Provence;Scanner;04329
PA de Salon de Provence;Scanner;07727
BTA de Orgon;Scanner;04349
BTA de Berre-l'étang;Scanner;04345
BTA  de Gardanne;Bloc optique;04314
BTA  de Châteaurenard;Bloc optique;04326
BTA de Roquevaire;Bloc optique;04340
BTA de Carry-le-Rouet;Bloc optique;05584
BTA de Lançon-Provence;Bloc optique;10128
CIC BDRIJ GGD14;Scanner;19568
BP d'Isigny-sur-Mer;Scanner;00938
BP de Pont-l'évèque;Scanner;00961
BR de Caen;Bloc optique;09636
BTA  d'Ouistreham;Bloc optique;00929
BTA  de Vire-Normandie;Bloc optique;00971
BTA de Bayeux;Bloc optique;00935
BTA de Douvres-la-Délivrande;Bloc optique;00925
BP d'Évrecy;Bloc optique;00926
BP de Bretteville-sur-Laize;Bloc optique;00945
BTA de Falaise;Bloc optique;00944
CIC BDRIJ GGD15;Scanner;20214
PMO de Saint-Flour;Scanner;18182
BP d’Aurillac;Bloc optique;03096
CIC BDRIJ GGD16;Scanner;19806
BP de Jarnac;Scanner;01795
BP de Confolens;Scanner;01799
BP de Ruffec;Bloc optique;01808
BP de Barbezieux-Saint-Hilaire;Bloc optique;01792
CIC BDRIJ GGD17;Scanner;19823
BTA St Martin de Ré;Scanner;01831
BP de Marans;Scanner;01828
BP de Saint-Pierre-d'Oléron;Bloc optique;01850
BP de Surgères;Bloc optique;01858
BP de Saint-Jean-d'Angély;Bloc optique;01874
BTA de Saintes;Bloc optique;01863
BTA de Nieul-sur-Mer;Bloc optique;27876
BTA de La-Tremblade;Bloc optique;01851
BP de Saint-Porchaire;Bloc optique;01870
BTA de Marennes Hiers Brouage;Bloc optique;01845
CIC BDRIJ GGD18;Scanner;20792
BP de Sancerre;Scanner;05376
BP de Saint-Martin-d'Auxigny;Scanner;05401
BP de Saint-Amand-Montrond;Bloc optique;05380
BP de Mehun-sur-Yèvre;Bloc optique;05398
CIC BDRIJ GGD19;Scanner;19874
BP d'Uzerche;Scanner;01991
BP de Brive-la-Gaillarde;Bloc optique;01995
BTA de Tulle;Bloc optique;01980
CIC BDRIJ GGD21;Scanner;20418
BP de Saulieu;Scanner;03826
BTA de Nuits-Saint-Georges;Scanner;03807
BP de Châtillon-sur-Seine;Bloc optique;03813
BTA  de Quetigny;Bloc optique;06701
PMO de Pouilly-en-Auxois;Bloc optique;28678
BTA de Gevrey-Chambertin;Bloc optique;03793
BP de Montbard;Bloc optique;03822
CIC BDRIJ GGD22;Scanner;19517
BTA de Perros-Guirec;Scanner;00786
BTA de Matignon;Scanner;00762
BTA de Dinan;Bloc optique;00756
BTA de Guingamp;Bloc optique;00771
BTA de Loudéac;Bloc optique;00744
BTA de Lamballe-Armor;Bloc optique;00741
BTA de Pléneuf-Val-André;Bloc optique;00747
BTA de Paimpol;Bloc optique;00745
PMO de Saint-Brieuc;Bloc optique;08008
CIC BDRIJ GGD23;Scanner;19891
BP de Aubusson;Scanner;02036
BP de Sainte-Feyre;Scanner;30576
BP de La-Souterraine;Bloc optique;02033
CIC BDRIJ GGD24;Scanner;19721
BP de Bergerac;Scanner;01496
BP de Sarlat-la-Canéda;Bloc optique;01531
BP de Montpon-Ménestérol;Bloc optique;01522
CIC BDRIJ GGD25;Scanner;20486
BP de Valdahon;Scanner;04053
BP de Morteau;Scanner;04061
BP d'École-Valentin;Bloc optique;15430
BP d'Étupes;Bloc optique;04034
BP de Saint-Vit;Bloc optique;04023
BTA de Bavans;Bloc optique;04031
CIC BDRIJ GGD26;Scanner;20095
BP de Saint-Vallier;Scanner;02707
BP de Saint-Paul-Trois-Châteaux;Scanner;02687
BP de Loriol-sur-Drôme;Bloc optique;02667
BTA de Chabeuil;Bloc optique;02664
BTA de Chatuzange le Goubet;Bloc optique;02701
CIC BDRIJ GGD27;Scanner;19483
BP de Brionne;Scanner;00640
BP de Saint-Georges-du-Vièvre;Scanner;00661
BP de Bernay;Bloc optique;00637
BP de Gisors;Bloc optique;00632
BTA de Gaillon;Bloc optique;00648
BP de Verneuil-d'Avre-et-d'Iton;Bloc optique;00625
BTA des Andelys;Bloc optique;00628
BP de Pont-Audemer;Bloc optique;00654
