key,nom_unite,abrege_unite,departement,type_unite,num_tph,num_tph_mobile_unite,num_fax_unite,rang_classement,adresse_geographique_unite,adresse_postale_unite,libelle_unite,type_materiel,code_unite_terminal_de_saisie
,,,,,,,,,,,,,
GN00000001,Gendarmerie nationale,GN,92,038P,,,,2.0,4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX,4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX,,,
GN00000002,Direction g�n�rale de la gendarmerie nationale,DGGN,92,038K,+33 1 84 22 29 99,,,49.0,4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX,4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX,,,
GN00000004,Major g�n�ral DGGN,MG DGGN,92,016E,+33 1 84 22 00 75,,,51.0,4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX,4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX,,,
GN00000005,Cabinet DGGN,CAB DGGN,92,0161,,+33 628471343,,52.0,4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX,4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX,,,
GN00000006,Sous-direction de l'immobilier et du logement DSF DGGN,SDIL DSF DGGN,92,016K,+33 1 56 28 83 05,,,383.0,4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX,4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX,,,
GN00000012,Sous-direction de la gestion du personnel DRHGN DGGN,SDGP DRHGN DGGN,92,016K,+33 1 84 22 29 99,,,327.0,4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX,4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX,,,
GN00000014,Inspecteur g�n�ral des arm�es gendarmerie,IGAG,75,038R,,,,3.0,60 Boulevard du g�n�ral Martial Valin$75015 PARIS,CASERNE DE LA BANQUE$12 RUE DE LA BANQUE$75002 PARIS,,,
GN00000015,Commandement du soutien op�rationnel de la gendarmerie nationale,COMSOPGN,36,8136,+33 2 18 27 21 57,,,432.0,54 Rue de la Guigni�re$36300 LE BLANC,54 RUE DE LA GUIGNIERE$BP 201$36300 LE BLANC,,,
GN00000016,�tat-major COMSOPGN,EM COMSOPGN,36,009B,+33 2 18 27 20 01,,,435.0,54 Rue de la Guigni�re$36300 LE BLANC,54 RUE DE LA GUIGNIERE$BP 201$36300 LE BLANC,,,
GN00000027,Service central des r�seaux et technologies avanc�es,SCRTA,72,027G,+33 2 43 51 32 99,,,615.0,71 Rue Marceau$72000 LE MANS,71 RUE MARCEAU$72000 LE MANS,,,
GN00000034,Gendarmerie de la s�curit� des armements nucl�aires,GSAN,92,0398,+33 1 46 95 65 35,,,1384.0,Caserne Rathelot$80 Rue Rouget de Lisle$92000 NANTERRE,CASERNE RATHELOT$80 RUE ROUGET DE LISLE$92014 NANTERRE CEDEX,,,
GN00000040,� la suite actif COMSOPGN,SA COMSOPGN,36,059A,,,,1126.0,54 Rue de la Guigni�re$36300 LE BLANC,54 RUE DE LA GUIGNIERE$BP 201$36300 LE BLANC,,,
GN00000041,� la suite non actif RGHF,SNA RGHF,59,059A,,,,17449.0,Caserne Adjudant S�n�part$201 Boulevard de Mons$59650 VILLENEUVE D ASCQ,CASERNE ADJUDANT SENEPART$201 BOULEVARD DE MONS$BP 187 VILLENEUVE D ASCQ$59018 LILLE CEDEX,,,
GN00000043,� la suite non actif RGNORM,SNA RGNORM,76,059A,,,,9506.0,Caserne Hatry$2 Rue du G�n�ral Sarrail$76000 ROUEN,CASERNE HATRY$2 RUE DU GENERAL SARRAIL$76038 ROUEN CEDEX,,,
